date,spx,vix,vix3m,rv_30,vrp,slope,log_ret,rv_daily,iv_daily,regime,regime_label
2018-06-11,2782.0,12.350000381469728,14.550000190734863,0.1000217543309486,0.0234782494837486,0.1781376308753863,0.0010681370069403,1.1409166655954268e-06,6.0524805326310485e-05,2,calm
2018-06-12,2786.85009765625,12.34000015258789,14.59000015258789,0.0957981463523967,0.0276018551734822,0.1823338713272333,0.0017418672787038,3.0341016166191504e-06,6.042682689121792e-05,2,calm
2018-06-13,2775.6298828125,12.9399995803833,14.920000076293944,0.0971833044311131,0.0322166913727198,0.153013953641256,-0.0040342545414114,1.6275209704898963e-05,6.644586870647621e-05,2,calm
2018-06-14,2782.489990234375,12.119999885559082,14.399999618530272,0.0936252753639312,0.0275747234916595,0.1881187916253859,0.0024685005225036,6.093494829600975e-06,5.829142747061594e-05,2,calm
2018-06-15,2779.659912109375,11.979999542236328,14.420000076293944,0.0932261496871487,0.0265738457352145,0.2036728403415394,-0.001017620315494,1.035551106506271e-06,5.695253533015184e-05,2,calm
2018-06-18,2773.75,12.3100004196167,14.479999542236328,0.0879525773293548,0.0351474268668121,0.176279370320866,-0.0021283911808865,4.530049018875499e-06,6.013337711546164e-05,2,calm
2018-06-19,2762.590087890625,13.350000381469728,15.170000076293944,0.0890678743673771,0.0444321294473201,0.1363295612598213,-0.0040315179513912,1.6253136992390256e-05,7.072321832747694e-05,2,calm
2018-06-20,2767.320068359375,12.789999961853027,14.789999961853027,0.0889880200475904,0.0389119795709398,0.1563721662208854,0.0017106902241125,2.9264610428742297e-06,6.491432500960335e-05,2,calm
2018-06-21,2749.760009765625,14.640000343322754,15.869999885559082,0.0878364114824257,0.0585635919508018,0.0840163602043442,-0.0063657288432202,4.0522503705406455e-05,8.505143256051204e-05,2,calm
2018-06-22,2754.8798828125,13.770000457763672,15.5,0.0839985138021599,0.0537014907754768,0.1256354019408137,0.0018602032551338,3.460356150410696e-06,7.524321928841736e-05,2,calm
2018-06-25,2717.070068359375,17.329999923706055,17.520000457763672,0.093406015733419,0.0798939835036414,0.0109636777203738,-0.0138197229677706,0.0001909847429059,0.0001191781338712,2,calm
2018-06-26,2723.06005859375,15.920000076293944,16.8700008392334,0.0936083999086513,0.065591600854288,0.0596734144715285,0.0022021505056967,4.849466849740336e-06,0.0001005739692179,2,calm
2018-06-27,2699.6298828125,17.90999984741211,18.049999237060547,0.0948591728345811,0.0842408256395399,0.0078168280760017,-0.0086415863131411,7.467701400746788e-05,0.0001272889264025,2,calm
2018-06-28,2716.31005859375,16.850000381469727,17.520000457763672,0.0958609042588331,0.0726390995558641,0.039762614903603,0.0061596800190312,3.794165793685328e-05,0.0001126676638315,2,calm
2018-06-29,2718.3701171875,16.09000015258789,17.139999389648438,0.0958608188209511,0.0650391827049278,0.0652578761406454,0.000758115887517,5.747396989056887e-07,0.0001027333749643,2,calm
2018-07-02,2726.7099609375,15.600000381469728,16.950000762939453,0.09593331553953,0.0600666882751672,0.0865384838755072,0.0030632608342934,9.38356693891627e-06,9.657143329438715e-05,2,calm
2018-07-03,2713.219970703125,16.139999389648438,17.350000381469727,0.0945429936149169,0.0668570002815674,0.0749690853518455,-0.0049596292805336,2.4597922600327e-05,0.0001033728493245,2,calm
2018-07-05,2736.610107421875,14.970000267028809,16.530000686645508,0.097480685928285,0.052219316742003,0.1042084430053468,0.0085838567455378,7.368259662791525e-05,8.892893174398515e-05,2,calm
2018-07-06,2759.820068359375,13.369999885559082,15.710000038146973,0.1000480848971695,0.0336519139584212,0.1750187114896927,0.0084455176005801,7.132676754170925e-05,7.093527656343247e-05,2,calm
